OWNER,TITLE,NAME,MAPGEO,ABSTRACT,KEYWORDS,CONTACT,WMSGetCap,WMTSGetCap,WFSGetCap
KT_AI,Amtliche Vermessung grau Gde,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.81.0.amtliche_vermessung_grau_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Amtliche Vermessung grau Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.81.0.amtliche_vermessung_grau_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in grau/weisser Darstellung deren aktuellen, rechtsgültigen Stand, mit Graustufenfüllung der Gebäude, sowie den kommunalen Übersichtsplan und die Landeskarten von swisstopo 1:50'000 bis 1:1'000'000 in Graustufen an.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,"Amtliche Vermessung, Hintergrund Gde",ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1238.0.amtliche_vermessung_hintergrund_gde,"https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Amtliche Vermessung, Hintergrund Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1238.0.amtliche_vermessung_hintergrund_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5","Diese Karte zeigt in roter Farbe den pendenten, bzw. projektierten Stand der amtlichen Vermessung und in schwarz/weisser Darstellung deren aktuellen, rechtsgültigen Stand, mit Graustufenfüllung der Gebäude, sowie den kommunalen Übersichtsplan und die Landeskarten von swisstopo 1:50'000 bis 1:1'000'000 in Graustufen an.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Anteil EFH am gesamten Gebäudebestand GWR Kt,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.591.0.anteil_efh_am_gesamten_gebaeudebestand_gwr_kt,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Anteil EFH am gesamten Gebäudebestand GWR Kt||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.591.0.anteil_efh_am_gesamten_gebaeudebestand_gwr_kt||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,Diese Karte stellt den Anteil der Einfamilenhäuser am gesamten Gebäudebestand pro Gemeinde dar. Datenquelle: Eidgenössisches Gebäude- und Wohnungsregister (GWR).,,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,"AV, Gebiete mit dauernden Bodenverschiebungen",ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1319.0.av_gebiete_mit_dauernden_bodenverschiebungen,"https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||AV, Gebiete mit dauernden Bodenverschiebungen||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.1319.0.av_gebiete_mit_dauernden_bodenverschiebungen||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5",Diese Karte zeigt Gebiete mit dauernden Bodenverschiebungen (Rutschgebiete) nach Art. 660a ZGB.,,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Basiskarte grau,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.3125.0.basiskarte_grau,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Basiskarte grau||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.3125.0.basiskarte_grau||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Graue Hintergrundkarte, welche sich auf das Siedlungsgebiet fokussiert und dort Strassennamen ausweisst, sowie Hausnummern. Zur Orientierung sind Gewässer in Dunkelgrau und Wälder in Hellgrau dargestellt.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Baufertigstellungen in den Gemeinden GWR Kt,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.543.0.baufertigstellungen_in_den_gemeinden_gwr_kt,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Baufertigstellungen in den Gemeinden GWR Kt||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.543.0.baufertigstellungen_in_den_gemeinden_gwr_kt||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,Diese Karte zeigt die Anzahl der Baufertigstellungen in den Gemeinden im vergangenen Jahr. Datenquelle: Eidgenössisches Gebäude- und Wohnungsregister (GWR).,,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Baulinien Nationalstrassen CH,ch.geoportal.verkehr.1341.0.baulinien_nationalstrassen_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Baulinien Nationalstrassen CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.verkehr.1341.0.baulinien_nationalstrassen_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Geodaten des Bundesamtes für Strassen, als WMS der swisstopo bezogen.  Die Karte zeigt alle projektierten Nationalstrasse.   Die publizierte Karte hat keine rechtliche Gültigkeit. Eine Gewähr für die Richtigkeit (z.B. dass ein nicht eingetragenes Grundstück unbelastet ist), besteht nicht.   Für eine umfangreichere Auskunft über ein Grundstück oder bei Fragen senden Sie bitte eine E-Mail (info@astra.admin.ch).   Datenquelle: Bundesamt Bundesamt für Strassen (ASTRA).",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Beleuchtung Werkplan Gde,ch.geoportal.ver_entsorgung_kommunikation.308.0.beleuchtung_werkplan_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Beleuchtung Werkplan Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.308.0.beleuchtung_werkplan_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Diese Karte zeigt die Werkleitungen der öffentlichen Beleuchtung an. Es wird die Beleuchtung der Verkehrswege, Strassenbeleuchtung und Plätzen dargestellt. Darin ersichtlich sind unter anderem Lampen wie Kandelaber, Scheinwerfer, Kirchturmbeleuchtung und Verteilkabinen.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Bestandeskarte 2024 Kt AR/AI,ch.geoportal.wald_flora_fauna.3516.0.bestandeskarte_2024_kt_arai,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Bestandeskarte 2024 Kt AR/AI||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.wald_flora_fauna.3516.0.bestandeskarte_2024_kt_arai||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Die Waldbestandeskarte dient der forstlichen Planung. Bestände unterscheiden sich in der Baumartenzusammensetzung, dem Bestandesalter und dem Aufbau (Entwicklungsstufe, Deckungsgrad, Mischung).",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Bienenstandorte Kt,ch.geoportal.landwirtschaft.64.0.bienenstandorte_kt,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Bienenstandorte Kt||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.landwirtschaft.64.0.bienenstandorte_kt||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,Darstellung der Bienenstandorte und Bienensperrgebiete.,,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Bodeneignungskarte CH,ch.geoportal.geologie_boden_naturbedingte_risiken.1051.0.bodeneignungskarte_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Bodeneignungskarte CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.geologie_boden_naturbedingte_risiken.1051.0.bodeneignungskarte_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Geodaten des Bundesamtes für Landwirtschaft, als WMS der swisstopo bezogen. In der Bodeneignungskarte ist jede Kartierungseinheit mit einem Code aus einem Grossbuchstaben und einer Zahl versehen. Die Buchstaben stehen für 25 verschiedene physiographische Einheiten. Die Zahlen geben verschiedene Formelemente der Landschaften wieder, geordnet nach Muttergestein, Hanglage und Hangneigung. Jede Kartierungseinheit entspricht zudem einem oder mehreren Bodentypen. Die insgesamt 144 Kartierungseinheiten sind in der Karte nach dem Gesichtspunkt der Bodeneignung in 18 unterschiedlich eingefärbten Gruppen zusammengefasst. Für diese Klassierung wurden in erster Linie landwirtschaftliche Kriterien verwendet.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Bodenkarte Kt AI,ch.geoportal.geologie_boden_naturbedingte_risiken.2947.0.bodenkarte_kt_ai,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Bodenkarte Kt AI||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.geologie_boden_naturbedingte_risiken.2947.0.bodenkarte_kt_ai||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Darstellung der verfügbaren Informationen über Bodeneinheiten, Bodenprofile und Horizonte in Landwirtschaftsgebieten des Kantons Appenzell I.Rh. (Bodenkarte). Die Daten stammen aus der Fachapplikation NABODAT des Bundes.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Bundesinventar der Landschaften und Naturdenkmäler (BLN) CH,ch.geoportal.umwelt_naturschutz.1356.0.bundesinventar_der_landschaften_und_naturdenkmaeler_bln_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Bundesinventar der Landschaften und Naturdenkmäler (BLN) CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.umwelt_naturschutz.1356.0.bundesinventar_der_landschaften_und_naturdenkmaeler_bln_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Geodaten des Bundes, als WMS der swisstopo bezogen. Artikel 5 des Bundesgesetzes über den Natur- und Heimatschutz (NHG) vom 1. Juli 1966 weist den Bundesrat an, Inventare mit Objekten von nationaler Bedeutung (Bundesinventare) zu erstellen. Beim Erlass dieser Inventare sind die Kantone anzuhören. Das Bundesinventar der Landschaften und Naturdenkmäler (BLN) stellt das erste Bundesinventar nach NHG dar. Vorstufe ist das KLN-Inventar (Inventar der zu erhaltenden Landschaften und Naturdenkmäler von nationaler Bedeutung), eine von privaten Organisationen in erster Auflage 1963 herausgegebene Arbeit, die periodisch ergänzt und überarbeitet wurde. Das BLN-Inventar wurde etappenweise in Rechtskraft gesetzt. Bisher hat der Bundesrat vier Inventarfolgen genehmigt: - eine 1. Serie 1977 mit 65 Objekten - eine 2. Serie 1983 mit 55 Objekten und 5 revidierten Objekten - eine 3. Serie 1996 mit 33 Objekten und 10 revidierten Objekten - eine 4. Serie 1998 mit 9 Objekten und 15 revidierten Objekten. In der Revision 2017 wurde ein Flächenabtausch zwischen den Objekten 1605 und 1606 vorgenommen.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Bundesinventare Naturschutz CH,ch.geoportal.umwelt_naturschutz.2636.0.bundesinventare_naturschutz_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Bundesinventare Naturschutz CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.umwelt_naturschutz.2636.0.bundesinventare_naturschutz_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,Die Karte zeigt eine Zusammenstellung der Bundesinventare des Bereiches Naturschutz.,,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Dufour Karte,ch.geoportal.basiskarten_bodenbedeckung_bilddaten.2184.0.dufour_karte,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Dufour Karte||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.basiskarten_bodenbedeckung_bilddaten.2184.0.dufour_karte||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Geodaten des Bundesamtes für Energie, als WMS der swisstopo bezogen. Die Topographische Karte der Schweiz 1:100 000 (Dufourkarte) ist das erste amtliche Kartenwerk, das die Schweiz landesweit abdeckt. Sie wurde zwischen 1845 und 1865 publiziert und entstand damit parallel zum modernen Bundesstaat. Vorgeschichte: Nach ersten Ansätzen in der Helvetik (1798-1803) wurden ab 1809 erste Vermessungen auf eidgenössischer Ebene durch die Offiziere des Quartiermeisterstabs vorgenommen. Doch die Arbeiten kamen erst richtig vom Fleck, als Guillaume-Henri Dufour (1787-1875) 1832 zum Oberstquartiermeister der Eidgenossenschaft (Generalstabschef) ernannt wurde. Zu seinen Aufgaben gehörte auch die Erstellung der Topographischen Karte der Schweiz 1:100 000.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Durchgangsleitungen aus AV Gde,ch.geoportal.ver_entsorgung_kommunikation.121.0.durchgangsleitungen_aus_av_gde,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Durchgangsleitungen aus AV Gde||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.121.0.durchgangsleitungen_aus_av_gde||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Diese Karte stellt bedeutende Durchgangsleitungen dar, welche aus den Daten der amtlichen Vermessung stammen. Darin ersichtlich sind Durchgangsleitungen aus Gas, Öl und Elektrizität (wie Hochspannungsfreileitungen).",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Einzugsgebietanalyse Gesundheitsdienstleistungen,ch.geoportal.verkehr.2892.0.einzugsgebietanalyse_gesundheitsdienstleistungen,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Einzugsgebietanalyse Gesundheitsdienstleistungen||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.verkehr.2892.0.einzugsgebietanalyse_gesundheitsdienstleistungen||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Gesundheitsdienstleistungen erreichbar mit dem Auto in 10 bzw. 5 min Fahrzeit mit 50 km/h Geschwindigkeit und möglicher Laufdistanz von 800m.  Folgende Gesundheitsdienstleistungen wurden berücksichtigt : Ärzte, Zahnarzt / Zahnärztin, Drogerie ,Krankenhaus, Klinik, Apotheke , Optiker / Optikerin.  Die Daten Grundlage basiert auf den frei zugänglichen OpenStreetMap Daten.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Eisenbahnlärmkataster Nacht CH,ch.geoportal.umwelt_naturschutz.1850.0.eisenbahnlaermkataster_nacht_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Eisenbahnlärmkataster Nacht CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.umwelt_naturschutz.1850.0.eisenbahnlaermkataster_nacht_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Die Karte zeigt, welcher Lärmbelastung die Bevölkerung durch den Eisenbahnverkehr in der Nacht ausgesetzt ist. Die Angaben basieren auf flächendeckenden Modellberechnungen. Die neue Eisenbahnlärmberechnung basiert auf der Verkehrszählung des Jahres 2015. Diese wurden für das Netz der SBB, BLS, SOB, zb und RhB auf der Grundlage der Verkehrsdaten errechnet und im Emissionskataster 2015 festgehalten. Bei den Berechnungen wurde ein Streckennetz von rund 4000 km berücksichtigt. Die Daten sind gesetzlich nicht verbindlich. Verbindliche Angaben zur Lärmbelastung wie auch zur Lärmsanierung gibt die Vollzugsbehörde des Bundes, das Bundesamt für Verkehr (BAV).",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Eisenbahnlärmkataster Tag CH,ch.geoportal.umwelt_naturschutz.1006.0.eisenbahnlaermkataster_tag_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Eisenbahnlärmkataster Tag CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.umwelt_naturschutz.1006.0.eisenbahnlaermkataster_tag_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Die Karte zeigt, welcher Lärmbelastung die Bevölkerung durch den Eisenbahnverkehr am Tag ausgesetzt ist. Die Angaben basieren auf flächendeckenden Modellberechnungen. Die neue Eisenbahnlärmberechnung basiert auf der Verkehrszählung des Jahres 2015. Diese wurden für das Netz der SBB, BLS, SOB, zb und RhB auf der Grundlage der Verkehrsdaten errechnet und im Emissionskataster 2015 festgehalten. Bei den Berechnungen wurde ein Streckennetz von rund 4000 km berücksichtigt. Die Daten sind gesetzlich nicht verbindlich. Verbindliche Angaben zur Lärmbelastung wie auch zur Lärmsanierung gibt die Vollzugsbehörde des Bundes, das Bundesamt für Verkehr (BAV).",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Elektrizitätsproduktionsanlagen CH,ch.geoportal.ver_entsorgung_kommunikation.2671.0.elektrizitaetsproduktionsanlagen_ch,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Elektrizitätsproduktionsanlagen CH||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.2671.0.elektrizitaetsproduktionsanlagen_ch||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Eine Elektrizitätsproduktionsanlage ist eine technische Einrichtung zur Erzeugung von Strom.Es ist von allgemeinem Interesse, eine räumliche Übersicht über sämtliche Elektrizitätsproduktionsanlagen der Schweiz zu haben. Insbesondere soll der Zubau an Produktionsanlagen, die Elektrizität aus erneuerbaren Energien produzieren, transparent dargestellt werden. Zudem kann das Verhältnis der Anlagen, die Elektrizität aus erneuerbaren Energien produzieren, zu den Anlagen, die Elektrizität aus nicht erneuerbaren Energien produzieren, sichtbar gemacht werden. Man unterscheidet zwischen Wasserkraft, Photovoltaik, Windenergie, Biomasse, Geothermie, Kernenergie, Erdöl, Erdgas und Kohle. Dieser Datenbestand enthält alle Elektrizitätsproduktionsanlagen, welche im Schweizerischen Herkunftsnachweissystem registriert sind. Darunter fallen zum einen alle Anlagen mit einer Leistung grösser 30 Kilovoltampere (kVA), sowie Kleinanlagen (grösser als 2 Kilowatt), welche freiwillig für die Ausstellung von Herkunftsnachweisen (HKN) registriert worden sind. Zum anderen enthält der Datenbestand Anlagen, die durch eine Einspeisevergütung, Einmalvergütung, Mehrkostenfinanzierung oder einen Investitionsbeitrag geförderten werden (gemäss Art. 19 und 24; EnG). Es sind nur Elektrizitätsproduktionsanlagen enthalten, welche in Betrieb sind.","Wasserkraft, Photovoltaik, Windenergie, Biomasse, Geothermie, Kernenergie, Erdöl, Erdgas",,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
KT_AI,Elektrizität Stromnetzgebiete Kt,ch.geoportal.ver_entsorgung_kommunikation.72.0.elektrizitaet_stromnetzgebiete_kt,https://map.geo.admin.ch/?bgLayer=ch.swisstopo.pixelkarte-grau&layers=WMS||Elektrizität Stromnetzgebiete Kt||https://www.geoportal.ch/services/wms/ktai?||ch.geoportal.ver_entsorgung_kommunikation.72.0.elektrizitaet_stromnetzgebiete_kt||1.3.0&E=2752747.5334320413&N=1245205.26715735&zoom=5,"Zuteilung der Stromnetzgebiete gemäss Stromversorgungsgesetz (SR 734.7; abgekürzt StromVG). Dargestellt sind die Netzebenen NE5, NE6 und NE7.",,,https://www.geoportal.ch/services/wms/ktai,n.a.,n.a.
